act 行为，行动
courage 勇气
course 课程
cover 覆盖；封面
create 创造
culture 文化
cup 杯子
cupcake 纸杯蛋糕
cut 切，剪
cute 可爱
cycle 循环
daily 每日的
dangerous 危险的
dark 黑暗
date 日期
day 日
dead 死了
deal 交易
dear 亲爱的
decide 决定
decision 决定
deep 深的
deepest 最深的
delicious 好吃
describe 描述
design 设计
dessert 甜点
develop 发展
devote 奉献
difference 差异
different 不同的
difficult 困难的
difficulty 困难
dinner 晚餐
disagreement 分歧
disaster 灾难
discipline 纪律
discussion 讨论
dislike 不喜欢
doctor 医生
dog 狗
doing 做
door 门
down 向下
draw 画
drawing 绘图
dream 梦想
dress 连衣裙
drink 喝
drop 掉落
dur 杜尔
dust 灰尘
early 早
earth 地球
easily 轻松地
easy 容易的
eat 吃
education 教育
effect 效果
ego 自我
elder 长者
elderly 年长的
elephant 大象
eleven 十一
emergency 紧急情况
encourage 鼓励
end 结束
english 英语
enjoy 享受，喜欢
enough 足够的
entertainment 娱乐
environment 环境
environmental 环境
europe 欧洲
even 甚至
event 事件
ever 曾经
everyone 大家
everywhere 到处
example 例子
excited 兴奋的
excitedly 兴奋地
experience 经历，经验
explain 解释
explore 探索
eye 眼睛
face 脸
fact 事实
factory 工厂
fail 失败
failure 失败
fall 秋天
family 家庭
famous 著名的
fan 风扇
farm 农场
fashion 时尚
fast 快
fastest 最快
fat 脂肪，胖的
father 父亲
favorite 最喜欢的
fear 害怕
feed 饲料
feel 感觉
feeling 感觉，情感
festival 节日
field 田野，领域
fifteen 十五
fight 打架
fill 装满
film 电影
finally 最后
find 找到
finish 完成
fire 火
firemen 消防员
firstly 首先
fit 健康的，合适的
five 五
fix 修理
flower 花
fly 飞
foggy 有雾的
follow 遵守，跟随
food 食物
foot 脚
football 足球
forest 森林
forever 永远
forget 忘记
form 表格，形式
four 四
fourth 第四
free 免费
fresh 新鲜的
fridge 冰箱
friend 朋友
friendly 友好的
friendship 友谊
frightened 害怕的
front 前面
full 满的
fun 乐趣
funny 有趣的
fur 毛皮
future 未来
game 游戏
garden 花园
gently 轻轻地
geography 地理
get 得到
gift 礼物
give 给
glance 一瞥
glass 玻璃杯，玻璃
glue 胶水
go 去
good 好的
grandchildren 孙子
grandfather 爷爷
grandma 奶奶
great 伟大的，极好的
green 绿色的
greet 打招呼
grey 灰色
ground 地面
group 组，群
grow 成长
guest 客人
habit 习惯
half 一半
hand 手
happen 发生
happily 开心地
happiness 幸福，快乐
happy 快乐的
hard 困难的，努力地
harder 更困难的
hardly 几乎不
harmful 有害的
hat 帽子
head 头
health 健康
healthy 健康的
hear 听见
heart 心
heat 热，加热
heater 暖气
heavily 重重地
heavy 重的
hello 你好
help 帮助
helpful 有帮助的
helpless 无助的
high 高
highest 最高
history 历史
hobby 爱好
holiday 假期
home 家
homeless 无家可归的
homework 家庭作业
honor 荣誉
honorary 荣誉的
hop 跳
hope 希望
hopeful 有希望的
horse 马
hot 热
hour 小时
house 房子
housework 家务活
however 然而
hurt 伤害
ice 冰
idea 主意
imagine 想象
impatient 不耐烦的
important 重要的
improv 即兴表演
include 包括
infer 推断
information 信息
inside 里面
instead 相反
interest 兴趣
intimately 亲密地
introduce 介绍
itself 本身
janina 贾尼娜
job 工作
join 加入
joke 笑话
joyful 快乐的
jump 跳
keep 保持
kept 保留
key 关键，钥匙
kid 小孩
kill 杀
kilometer 公里
kind 友善的
kindly 友善地
kindness 善良
king 国王
kite 风筝
know 知道
knowledge 知识
lab 实验室
lacquer 漆
language 语言
large 大的
larger 更大的
lastly 最后
late 晚的
later 后来
laugh 笑
lay 躺着
learn 学习
least 至少
leave 离开
lesson 课，教训
library 图书馆
lie 谎言
life 生活，生命
lifelong 终身的
light 灯，光；轻的
like 喜欢；像
line 线
list 清单
listen 听
live 生活，居住
lonely 孤独的
long 长的
longer 更长
look 看
lose 失去
lot 很多
loud 大声的
loudest 最响亮的
love 爱，喜欢
low 低的
lucky 幸运的
lunch 午饭
magnificent 宏伟的
main 主要的
make 制作，使
mango 芒果
matter 要紧，事情
meal 餐
mean 意思是
meaningful 有意义的
meat 肉
meet 遇见
member 成员
memory 记忆
mention 提及
meter 米
milk 牛奶
mind 介意；头脑
minute 分钟
mistake 错误
mom 妈妈
moment 时刻
money 钱
morning 早晨
mother 母亲
mountain 山
move 移动
mum 妈妈
museum 博物馆
name 姓名
natural 自然的
nature 自然
nearly 几乎
nervous 紧张的
never 从不
new 新的
newspaper 报纸
next 下一个
night 夜晚
nobody 没有人
nod 点头
noodle 面条
noon 中午
notice 通知
number 数量
offer 报价
often 经常
old 老的，旧的
older 更年长的
once 一次
one 一
open 打开，开放的
opinion 意见
order 顺序，命令
other 其他
our 我们的
outdoor 户外的
outside 外面
owner 业主
pain 疼痛
paint 油漆
paintbrush 画笔
painter 画家
painting 绘画
pair 一对
paper 纸
paragraph 段落
parent 父母
park 公园
part 部分
party 聚会
pass 经过，通过
passage 通道
past 过去
pavilion 凉亭
peaceful 平静的
people 人
pepper 胡椒
perfect 完美的
person 人
personality 个性
pest 害虫
phone 电话
photo 照片
piano 钢琴
pick 挑选
picture 图片
piece 一块
place 地方
plan 计划
plane 飞机
plant 植物
play 玩，播放
player 运动员
playground 游乐场
poem 诗
point 点
polite 礼貌的
politely 礼貌地
pond 池塘
poor 贫穷的，可怜的
popular 受欢迎的
postcard 明信片
power 电力，力量
practic 实用的
prefer 更喜欢
prepare 准备
present 礼物，现在的
pretty 漂亮
primrose 报春花
princes 王子
prize 奖品
probably 可能
problem 问题
professor 教授
project 项目
protect 保护
protection 保护
proud 骄傲
province 省
purpose 目的
put 把
puzzle 谜，难题
quality 品质
question 问题
quick 快的
quickly 快速地
quiet 安静的
quietly 静静地
radio 收音机
rain 雨
reach 到达
read 读
ready 准备好的
real 真实的
reason 原因
record 记录
refer 参考
relax 放松
remember 记住
repeat 重复
report 报告
respect 尊重
responsibility 责任
rest 剩余部分，休息
restaurant 餐馆
result 结果
return 返回
rich 富有
right 对
ring 响，铃声
rise 上升
road 路
rock 岩石
room 房间
royal 皇家的
rule 规则
run 跑
runner 跑步者
sadly 悲伤地
sadness 悲伤
safe 安全的
salt 盐
same 一样
save 保存
saving 储蓄
say 说
scale 规模
scar 疤痕
scenery 风景
school 学校
science 科学
scientific 科学的
scientist 科学家
scissor 剪刀
search 搜索
seat 座位
second 第二
see 看到
seem 似乎
sell 卖
send 发送
sentence 句子
september 九月
serious 严重的，认真的
several 几个
share 分享
sheep 羊
shop 商店，购物
short 短
shout 喊叫
show 展示
shower 淋浴
side 一边
sign 标志
silence 沉默
silent 沉默的
simple 简单的
simply 简单地
sincerely 真诚地
sing 唱歌
single 单一的
sir 先生
sister 姐妹
sit 坐
situation 情况
six 六
skill 技能
sky 天空
sleep 睡觉
slow 慢的
small 小
smart 聪明的
smarter 更聪明
smell 气味
smile 微笑
snail 蜗牛
snake 蛇
snow 雪
snowstorm 暴风雪
solve 解决
sometime 某个时候
son 儿子
song 歌曲
soon 很快
sound 声音
space 空间
speak 说话
special 特别的
spend 花费
spoke 发言
spread 传播
square 正方形
stand 站立
star 星星
start 开始
stay 停留，保持
step 步骤
stick 棍子
stone 石头
stood 站着
stop 停止
store 商店
story 故事
strange 奇怪的
street 街道
strong 强壮的
stronger 更强的
student 学生
study 学习
subject 科目
success 成功
successful 成功的
sudden 突然的
suddenly 突然
summer 夏天
sun 太阳
sunshine 阳光
sure 当然
surprise 惊讶
surprisingly 令人惊讶地
sweet 甜的
swim 游泳
symbol 符号
take 拿，花费
talk 谈话
teach 教
teacher 老师
team 团队
telephone 电话
television 电视
tell 告诉
ten 十
test 测试
text 文本
thank 谢谢
thankful 感恩的
thicker 较厚
thing 事情
think 认为，思考
thought 思想
thousand 千
three 三
throw 扔
time 时间
tiny 微小的
tiresome 令人厌烦的
title 标题
today 今天
together 在一起
tomorrow 明天
top 顶部
tower 塔
town 城镇
traditional 传统的
train 火车
transportation 交通
travel 旅行
traveler 旅行者
treat 对待
trip 旅行
trouble 麻烦
trousers 裤子
true 真的
trust 信任
try 尝试
turn 轮次，转动
twelve 十二
two 两个
unclear 不清楚的
underlined 下划线的
understand 理解
unhappy 不开心的
unusual 不寻常的
use 使用
useful 有用的
useless 无用的
usual 通常的
usually 通常
utility 公用事业
valuable 有价值的
value 值
vegetable 蔬菜
visit 参观，拜访
wait 等待
walk 走路
wall 墙
want 想要
warm 温暖的
warn 警告
wash 洗
watch 观看
water 水
way 方法，道路
wear 穿，戴
website 网站
week 周
weigh 称重
weight 重量
welcome 欢迎
well 好
western 西方的
wetland 湿地
wheelchair 轮椅
white 白色的
whole 整体
widely 广泛地
wife 妻子
wild 野生的
win 赢
wind 风
window 窗户
winner 获胜者
winter 冬天
wise 明智的
wish 愿望
wonderful 精彩的
wood 木头
wooden 木制的
work 工作，作品
worker 工人
world 世界
worry 担心
worse 更糟
write 写
writer 作家
wrong 错误的
yard 院子
year 年
young 年轻的
younger 年轻的
yuan 元
